,1789_Washington_Inaugural_Address,1793_Washington_Inaugural_Address,1801_Jefferson_Inaugural_Address,1805_Jefferson_Inaugural_Address,1809_Madison_Inaugural_Address
date,1789-04-30,1793-03-04,1801-03-04,1805-03-04,1809-03-04
pres_name,George Washington,George Washington,Thomas Jefferson,Thomas Jefferson,James Madison
byline,1st President of the United States: 1789 ‐ 1797,1st President of the United States: 1789 ‐ 1797,3rd President of the United States: 1801 ‐ 1809,3rd President of the United States: 1801 ‐ 1809,4th President of the United States: 1809 ‐ 1817
title,Inaugural Address,Inaugural Address,Inaugural Address,Inaugural Address,Inaugural Address
num_tokens,1546,147,1938,2390,1266
num_sentences,23,4,41,45,21
avg_ted_adj,138.22727272727272,79.0,110.225,113.06818181818181,138.95
avg_ted_comb,155.19367588932806,119.83333333333333,119.83170731707317,122.05050505050505,153.60476190476192
avg_node_depth,12.68111254851229,9.061224489795919,12.248194014447884,9.795397489539749,15.44391785150079
max_node_depth,50,23,64,31,80
avg_node_clause_depth,2.4573091849935316,1.6598639455782314,1.826625386996904,2.0510460251046023,2.221169036334913
max_node_clause_depth,8,4,6,6,9
avg_clauses_per_sent,6.260869565217392,3.75,4.2682926829268295,5.711111111111111,4.285714285714286
avg_sbars_per_sent,3.3043478260869565,2.25,1.9024390243902438,2.3333333333333335,1.5714285714285714
num_unk,2,0,0,0,1
num_words,1434,135,1732,2168,1177
avg_dependency_distance,3.5564853556485354,3.066666666666667,3.712471131639723,3.1983394833948338,3.602378929481733
avg_sentence_length_by_tok,67.21739130434783,36.75,47.26829268292683,53.111111111111114,60.285714285714285
avg_sentence_length_by_word,62.34782608695652,33.75,42.24390243902439,48.17777777777778,56.04761904761905
avg_words_before_root,13.478260869565217,16.5,10.585365853658537,17.4,30.761904761904763
num_uniq_words,593,90,676,776,521
proportion_uniq,0.4158485273492286,0.6666666666666666,0.3930232558139535,0.358264081255771,0.44265080713678845
constituency_analysis_time,0.0037219000005279668,0.002359400001296308,0.0012724999978672713,0.004870800003118347,0.004834899998968467
dependency_analysis_time,0.0004954999967594631,0.000185500000952743,0.00016740000137360767,0.0005314000009093434,0.0005269000030239113
tree_edit_distance_time,91.78776889999426,0.8457211999993888,204.1593262000024,200.28720240000257,59.71244419999857
total_file_analysis_time,96.39353159999882,1.4141841000018758,209.60401850000198,204.5526650000029,63.50612330000149
